Time Step,Accuracy Base,CO2 Base,Accuracy Quantized,CO2 Quantized,Accuracy Adaptive,CO2 Adaptive
0,0.698,0.8766650244444445,0.625,0.14914930333333332,0.625,0.14914930333333332
1,0.742,0.9045773966666667,0.658,0.14559058222222224,0.658,0.14559058222222224
2,0.715,0.8005459366666667,0.666,0.14089264222222223,0.666,0.14089264222222223
3,0.712,0.7086844411111113,0.628,0.12082361777777778,0.628,0.12082361777777778
4,0.722,0.6598923355555555,0.66,0.11214513555555554,0.66,0.11214513555555554
5,0.732,0.15653679888888886,0.667,0.027978513333333333,0.667,0.027978513333333333
6,0.739,0.0,0.665,0.0,0.739,0.0
7,0.72,0.0,0.635,0.0,0.72,0.0
8,0.725,0.0,0.648,0.0,0.725,0.0
9,0.758,0.0,0.677,0.0,0.758,0.0
10,0.718,0.0,0.649,0.0,0.718,0.0
11,0.728,0.0,0.645,0.0,0.728,0.0
12,0.734,0.17279049666666668,0.659,0.028824351111111115,0.659,0.028824351111111115
13,0.712,0.18941963444444443,0.661,0.021451950000000004,0.661,0.021451950000000004
14,0.734,0.1811042422222222,0.654,0.032773332222222215,0.654,0.032773332222222215
15,0.708,0.20213629222222224,0.629,0.03224338,0.629,0.03224338
16,0.71,0.18385005888888892,0.634,0.028928365555555554,0.634,0.028928365555555554
17,0.749,0.18058911000000002,0.686,0.022641941111111116,0.686,0.022641941111111116
18,0.721,0.0,0.658,0.0,0.721,0.0
19,0.723,0.0,0.653,0.0,0.723,0.0
20,0.723,0.0,0.629,0.0,0.723,0.0
21,0.742,0.0,0.679,0.0,0.742,0.0
22,0.719,0.0,0.65,0.0,0.719,0.0
23,0.731,0.0,0.639,0.0,0.731,0.0
24,0.702,0.1879927977777778,0.646,0.02730914333333333,0.646,0.02730914333333333
25,0.697,0.16659107111111113,0.625,0.02488360333333333,0.625,0.02488360333333333
26,0.745,0.7254842833333334,0.649,0.16884782777777776,0.649,0.16884782777777776
27,0.731,0.9146887533333332,0.657,0.13969414333333335,0.657,0.13969414333333335
28,0.73,0.8854908833333335,0.666,0.14125106666666665,0.666,0.14125106666666665
29,0.722,0.8224531900000002,0.642,0.14599648555555556,0.642,0.14599648555555556
30,0.708,0.0,0.641,0.0,0.708,0.0
31,0.718,0.0,0.643,0.0,0.718,0.0
32,0.733,0.0,0.693,0.0,0.733,0.0
33,0.703,0.0,0.623,0.0,0.703,0.0
34,0.734,0.0,0.64,0.0,0.734,0.0
35,0.732,0.0,0.667,0.0,0.732,0.0
36,0.742,0.60881301,0.658,0.10238012777777779,0.658,0.10238012777777779
37,0.7,0.5922072,0.642,0.11010656222222223,0.642,0.11010656222222223
38,0.741,0.621810698888889,0.655,0.12095425333333333,0.655,0.12095425333333333
39,0.742,0.6417199966666668,0.669,0.11659607555555555,0.669,0.11659607555555555
40,0.737,0.6245241311111112,0.675,0.11402453111111112,0.675,0.11402453111111112
41,0.731,0.6390263244444444,0.646,0.11427043333333332,0.646,0.11427043333333332
42,0.707,0.0,0.635,0.0,0.707,0.0
43,0.698,0.0,0.628,0.0,0.698,0.0
44,0.728,0.0,0.651,0.0,0.728,0.0
45,0.731,0.0,0.622,0.0,0.731,0.0
46,0.734,0.0,0.667,0.0,0.734,0.0
47,0.721,0.0,0.65,0.0,0.721,0.0

Model,Trade-off Score
Base Model,0.9929518565678687
Compressed Model,0.8970604305928953
Adaptive Strategy,0.9490125897556807
